nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
294,20923,1,11254,142901,"RING",3,15436,27369,"1",
295,20956,1,11254,142901,"RING",3,15436,27369,"1",
296,20989,1,11254,142901,"RING",3,15436,27369,"1",
297,21022,1,11254,142901,"RING",3,15436,27369,"1",
298,21055,1,11254,142901,"RING",3,15436,27369,"1",
299,21088,1,11254,142901,"RING",3,15436,27369,"1",
300,21121,1,11254,142901,"RING",3,15436,27369,"1",
301,21154,1,11254,142901,"RING",3,15436,27369,"1",
302,21187,1,11254,142901,"RING",3,15436,27369,"1",
303,21220,1,11254,142901,"RING",3,15436,27369,"1",
304,21253,1,11254,142901,"RING",3,15436,27369,"1",
305,21286,1,11254,142901,"RING",3,15436,27369,"1",
306,21319,1,11254,142901,"RING",3,15436,27369,"1",
307,21352,1,11254,142901,"RING",3,15436,27369,"1",
308,21385,1,11254,142901,"RING",3,15436,27369,"1",
309,21418,1,11254,142901,"RING",3,15436,27369,"1",
310,21451,1,11254,142901,"RING",3,15436,27369,"1",
311,21484,1,11254,142901,"RING",3,15436,27369,"1",
312,21517,1,11254,142901,"RING",3,15436,27369,"1",
313,21550,1,11254,142901,"RING",3,15436,27369,"1",
314,21583,1,11254,142901,"RING",3,15436,27369,"1",
315,21616,1,11254,142901,"RING",3,15436,27369,"1",
316,21649,1,11254,142901,"RING",3,15436,27369,"1",
317,21682,1,11254,142901,"RING",3,15436,27369,"1",
318,21715,1,11254,142901,"RING",3,15436,27369,"1",
319,21748,1,11254,142901,"RING",3,15436,27369,"1",
320,21781,1,11254,142901,"RING",3,15436,27369,"1",
321,21814,1,11254,142901,"RING",3,15436,27369,"1",
322,21847,1,11254,142901,"RING",3,15436,27369,"1",
323,21880,1,11254,142901,"RING",3,15436,27369,"1",
324,21913,1,11254,142901,"RING",3,15436,27369,"1",
325,21946,1,11254,142901,"RING",3,15436,27369,"1",
326,21979,1,11254,142901,"RING",3,15436,27369,"1",
327,22012,1,11254,142901,"RING",3,15436,27369,"1",
