nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
311,372521,1,360431,485603,"RING STACKER",7,370394,374862,"1",
312,372560,1,360431,485603,"RING STACKER",7,370394,374862,"1",
313,372599,1,360431,485603,"RING STACKER",7,370394,374862,"1",
314,372638,1,360431,485603,"RING STACKER",7,370394,374862,"1",
315,372677,1,360431,485603,"RING STACKER",7,370394,374862,"1",
316,372716,1,360431,485603,"RING STACKER",7,370394,374862,"1",
317,372755,1,360431,485603,"RING STACKER",7,370394,374862,"1",
318,372794,1,360431,485603,"RING STACKER",7,370394,374862,"1",
319,372833,1,360431,485603,"RING STACKER",7,370394,374862,"1",
320,372872,1,360431,485603,"RING STACKER",7,370394,374862,"1",
321,372911,1,360431,485603,"RING STACKER",7,370394,374862,"1",
322,372950,1,360431,485603,"RING STACKER",7,370394,374862,"1",
323,372989,1,360431,485603,"RING STACKER",7,370394,374862,"1",
324,373028,1,360431,485603,"RING STACKER",7,370394,374862,"1",
325,373067,1,360431,485603,"RING STACKER",7,370394,374862,"1",
326,373106,1,360431,485603,"RING STACKER",7,370394,374862,"1",
327,373145,1,360431,485603,"RING STACKER",7,370394,374862,"1",
328,373184,1,360431,485603,"RING STACKER",7,370394,374862,"1",
329,373223,1,360431,485603,"RING STACKER",7,370394,374862,"1",
330,373262,1,360431,485603,"RING STACKER",7,370394,374862,"1",
331,373301,1,360431,485603,"RING STACKER",7,370394,374862,"1",
332,373340,1,360431,485603,"RING STACKER",7,370394,374862,"1",
333,373379,1,360431,485603,"RING STACKER",7,370394,374862,"1",
334,373418,1,360431,485603,"RING STACKER",7,370394,374862,"1",
335,373457,1,360431,485603,"RING STACKER",7,370394,374862,"1",
336,373496,1,360431,485603,"RING STACKER",7,370394,374862,"1",
337,373535,1,360431,485603,"RING STACKER",7,370394,374862,"1",
338,373574,1,360431,485603,"RING STACKER",7,370394,374862,"1",
339,373613,1,360431,485603,"RING STACKER",7,370394,374862,"1",
340,373652,1,360431,485603,"RING STACKER",7,370394,374862,"1",
341,373691,1,360431,485603,"RING STACKER",7,370394,374862,"1",
342,373730,1,360431,485603,"RING STACKER",7,370394,374862,"1",
343,373769,1,360431,485603,"RING STACKER",7,370394,374862,"1",
344,373808,1,360431,485603,"RING STACKER",7,370394,374862,"1",
345,373847,1,360431,485603,"RING STACKER",7,370394,374862,"1",
346,373886,1,360431,485603,"RING STACKER",7,370394,374862,"1",
347,373925,1,360431,485603,"RING STACKER",7,370394,374862,"1",
348,373964,1,360431,485603,"RING STACKER",7,370394,374862,"1",
349,374003,1,360431,485603,"RING STACKER",7,370394,374862,"1",
350,374042,1,360431,485603,"RING STACKER",7,370394,374862,"1",
351,374081,1,360431,485603,"RING STACKER",7,370394,374862,"1",
352,374120,1,360431,485603,"RING STACKER",7,370394,374862,"1",
353,374159,1,360431,485603,"RING STACKER",7,370394,374862,"1",
354,374198,1,360431,485603,"RING STACKER",7,370394,374862,"1",
355,374237,1,360431,485603,"RING STACKER",7,370394,374862,"1",
356,374276,1,360431,485603,"RING STACKER",7,370394,374862,"1",
357,374315,1,360431,485603,"RING STACKER",7,370394,374862,"1",
358,374354,1,360431,485603,"RING STACKER",7,370394,374862,"1",
359,374393,1,360431,485603,"RING STACKER",7,370394,374862,"1",
360,374432,1,360431,485603,"RING STACKER",7,370394,374862,"1",
361,374471,1,360431,485603,"RING STACKER",7,370394,374862,"1",
362,374510,1,360431,485603,"RING STACKER",7,370394,374862,"1",
363,374549,1,360431,485603,"RING STACKER",7,370394,374862,"1",
364,374588,1,360431,485603,"RING STACKER",7,370394,374862,"1",
365,374627,1,360431,485603,"RING STACKER",7,370394,374862,"1",
366,374666,1,360431,485603,"RING STACKER",7,370394,374862,"1",
367,374705,1,360431,485603,"RING STACKER",7,370394,374862,"1",
368,374744,1,360431,485603,"RING STACKER",7,370394,374862,"1",
369,374783,1,360431,485603,"RING STACKER",7,370394,374862,"1",
370,374822,1,360431,485603,"RING STACKER",7,370394,374862,"1",
371,374861,1,360431,485603,"RING STACKER",7,370394,374862,"1",
372,374900,1,360431,485603,"RING STACKER",8,374863,375559,"0",
373,374939,1,360431,485603,"RING STACKER",8,374863,375559,"0",
374,374978,1,360431,485603,"RING STACKER",8,374863,375559,"0",
375,375017,1,360431,485603,"RING STACKER",8,374863,375559,"0",
376,375056,1,360431,485603,"RING STACKER",8,374863,375559,"0",
377,375095,1,360431,485603,"RING STACKER",8,374863,375559,"0",
378,375134,1,360431,485603,"RING STACKER",8,374863,375559,"0",
379,375173,1,360431,485603,"RING STACKER",8,374863,375559,"0",
380,375212,1,360431,485603,"RING STACKER",8,374863,375559,"0",
381,375251,1,360431,485603,"RING STACKER",8,374863,375559,"0",
382,375290,1,360431,485603,"RING STACKER",8,374863,375559,"0",
383,375329,1,360431,485603,"RING STACKER",8,374863,375559,"0",
384,375368,1,360431,485603,"RING STACKER",8,374863,375559,"0",
385,375407,1,360431,485603,"RING STACKER",8,374863,375559,"0",
386,375446,1,360431,485603,"RING STACKER",8,374863,375559,"0",
387,375485,1,360431,485603,"RING STACKER",8,374863,375559,"0",
388,375524,1,360431,485603,"RING STACKER",8,374863,375559,"0",
389,375563,1,360431,485603,"RING STACKER",9,375560,382365,"1",
390,375602,1,360431,485603,"RING STACKER",9,375560,382365,"1",
391,375641,1,360431,485603,"RING STACKER",9,375560,382365,"1",
392,375680,1,360431,485603,"RING STACKER",9,375560,382365,"1",
393,375719,1,360431,485603,"RING STACKER",9,375560,382365,"1",
394,375758,1,360431,485603,"RING STACKER",9,375560,382365,"1",
395,375797,1,360431,485603,"RING STACKER",9,375560,382365,"1",
396,375836,1,360431,485603,"RING STACKER",9,375560,382365,"1",
397,375875,1,360431,485603,"RING STACKER",9,375560,382365,"1",
398,375914,1,360431,485603,"RING STACKER",9,375560,382365,"1",
399,375953,1,360431,485603,"RING STACKER",9,375560,382365,"1",
400,375992,1,360431,485603,"RING STACKER",9,375560,382365,"1",
401,376031,1,360431,485603,"RING STACKER",9,375560,382365,"1",
402,376070,1,360431,485603,"RING STACKER",9,375560,382365,"1",
403,376109,1,360431,485603,"RING STACKER",9,375560,382365,"1",
404,376148,1,360431,485603,"RING STACKER",9,375560,382365,"1",
405,376187,1,360431,485603,"RING STACKER",9,375560,382365,"1",
406,376226,1,360431,485603,"RING STACKER",9,375560,382365,"1",
407,376265,1,360431,485603,"RING STACKER",9,375560,382365,"1",
408,376304,1,360431,485603,"RING STACKER",9,375560,382365,"1",
409,376343,1,360431,485603,"RING STACKER",9,375560,382365,"1",
410,376382,1,360431,485603,"RING STACKER",9,375560,382365,"1",
